frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,dx,dy,x_corrected,y_corrected,spot,group,x_group,y_group
0,229.21445,67.898155,11133.373,2.1629229,2.1850076,16.414057,0.02890995,0.029226566,0.010107385,12627.433,-0.311372756958008,-0.453388243913651,229.525822756958,68.3515432439137,28,,,
0,248.49092,78.57392,21005.072,2.1168163,2.2512515,43.54964,0.020927895,0.022401558,0.05971575,23200.375,-0.311372756958008,-0.453388243913651,248.802292756958,79.0273082439137,29,,,
0,249.31621,129.90538,7099.896,2.257759,2.1547637,25.76069,0.040521424,0.038345274,0.04561842,6157.633,-0.311372756958008,-0.453388243913651,249.627582756958,130.358768243914,30,,,
0,249.93759,65.72691,11125.112,2.1963265,2.2593527,26.097775,0.03019562,0.031171698,0.027895685,11262.163,-0.311372756958008,-0.453388243913651,250.248962756958,66.1802982439137,31,,,
0,281.70068,79.71086,10077.818,2.181208,2.2915068,22.457703,0.031372223,0.033153288,0.048133776,9286.457,-0.311372756958008,-0.453388243913651,282.012052756958,80.1642482439137,32,,,
0,286.47476,88.03563,9046.0625,2.1876383,2.2502813,22.826607,0.03351283,0.034601536,0.027837874,9673.1455,-0.311372756958008,-0.453388243913651,286.786132756958,88.4890182439137,33,,,
0,292.27692,278.14014,5087.091,2.2633948,1.7866218,51.26868,0.0562943,0.040973023,0.2106451,5933.4717,-0.311372756958008,-0.453388243913651,292.588292756958,278.593528243914,34,,,
1,3.9337575,207.24043,14667.8955,2.2740314,2.3583875,56.88353,0.02864142,0.029933201,0.03576854,14990.634,-0.310567080974579,-0.452261328697205,4.24432458097458,207.692691328697,0,20,4.24432458097458,207.692691328697
1,14.053562,5.0583887,12220.388,2.2949772,2.36694,8.596676,0.028631272,0.029561993,0.03040332,11784.239,-0.310567080974579,-0.452261328697205,14.3641290809746,5.5106500286972,1,,,
1,17.606928,145.46202,8833.198,2.0735092,2.1739964,25.92989,0.03228804,0.034076236,0.046222355,9713.34,-0.310567080974579,-0.452261328697205,17.9174950809746,145.914281328697,2,,,
1,20.181946,90.75703,3454.1404,2.3038833,2.2870913,46.503384,0.07497963,0.07417157,0.007288589,3264.9668,-0.310567080974579,-0.452261328697205,20.4925130809746,91.2092913286972,3,,,
1,29.325758,230.8931,7049.6045,1.9514914,2.0680501,123.36976,0.04388968,0.047808595,0.056361686,10715.222,-0.310567080974579,-0.452261328697205,29.6363250809746,231.345361328697,4,4412,29.6363250809746,231.345361328697
1,39.91596,107.67218,11811.726,2.2813845,2.3721888,22.233936,0.030131422,0.031466134,0.038278714,10870.352,-0.310567080974579,-0.452261328697205,40.2265270809746,108.124441328697,5,,,
1,46.078453,101.53472,7926.9565,2.077256,2.024644,53.679226,0.037440035,0.03624359,0.025327677,8600.818,-0.310567080974579,-0.452261328697205,46.3890200809746,101.986981328697,6,,,
1,60.36155,190.52629,10485.6875,2.350331,2.420551,2.9000652,0.031169519,0.032107677,0.02900992,8752.315,-0.310567080974579,-0.452261328697205,60.6721170809746,190.978551328697,7,,,
1,65.341644,227.67651,8219.741,2.1651964,2.1383746,27.514858,0.03556659,0.035055377,0.012387722,9108.513,-0.310567080974579,-0.452261328697205,65.6522110809746,228.128771328697,8,,,
1,73.447754,197.48041,12320.173,2.3676155,2.275792,16.950554,0.030194994,0.028932804,0.038783148,9056.482,-0.310567080974579,-0.452261328697205,73.7583210809746,197.932671328697,9,,,
1,75.37411,159.46713,7337.529,1.9633001,1.9018809,50.686913,0.03634561,0.034936804,0.031283677,10315.412,-0.310567080974579,-0.452261328697205,75.6846770809746,159.919391328697,10,677,75.6846770809746,159.919391328697
1,77.37469,215.14415,5473.025,2.3410754,2.304804,27.807058,0.050295174,0.049313072,0.01549345,5305.072,-0.310567080974579,-0.452261328697205,77.6852570809746,215.596411328697,11,,,
1,92.17476,132.9661,5672.153,2.0288904,1.9881049,44.63602,0.04394637,0.04281223,0.020102333,6877.6685,-0.310567080974579,-0.452261328697205,92.4853270809746,133.418361328697,12,,,
1,97.65215,223.75215,11656.662,2.368586,2.2928855,-9.575861,0.028476564,0.027640432,0.031960215,10769.72,-0.310567080974579,-0.452261328697205,97.9627170809746,224.204411328697,13,,,
1,98.1069,85.05741,10917.6455,2.3182642,2.257032,19.892546,0.03183771,0.030911535,0.026413007,10057.232,-0.310567080974579,-0.452261328697205,98.4174670809746,85.5096713286972,14,,,
1,108.94776,173.96413,10696.631,2.3043244,2.2023802,5.217222,0.030490818,0.029118638,0.04424039,11167.774,-0.310567080974579,-0.452261328697205,109.258327080975,174.416391328697,15,3949,109.258327080975,174.416391328697
1,117.96221,145.37106,6374.0034,2.1608653,2.2596004,29.147459,0.041627515,0.043963853,0.043695822,6749.6284,-0.310567080974579,-0.452261328697205,118.272777080975,145.823321328697,16,1090,118.272777080975,145.823321328697
1,128.00768,93.97985,20719.168,2.7726505,2.620323,-35.895573,0.023235036,0.022243937,0.054939322,12442.664,-0.310567080974579,-0.452261328697205,128.318247080975,94.4321113286972,17,1213,128.318247080975,94.4321113286972
1,132.18553,199.1621,9515.958,2.3521116,2.1299238,6.2109222,0.033219036,0.029998114,0.0944631,9974.154,-0.310567080974579,-0.452261328697205,132.496097080975,199.614361328697,18,,,
1,147.08162,53.270405,17349.646,2.5638523,2.6524298,-40.230564,0.023092216,0.023647733,0.033394855,11885.959,-0.310567080974579,-0.452261328697205,147.392187080975,53.7226663286972,19,,,
1,153.01962,260.668,6377.6855,2.0487897,2.021051,37.86913,0.040275313,0.03960194,0.01353912,7728.1675,-0.310567080974579,-0.452261328697205,153.330187080975,261.120261328697,20,,,
1,157.31104,171.22632,9858.877,2.2066867,2.1328092,18.75186,0.031812612,0.030648537,0.033478957,11010.252,-0.310567080974579,-0.452261328697205,157.621607080975,171.678581328697,21,,,
1,176.42679,240.19337,8239.082,2.163572,2.1165166,27.115643,0.03543885,0.034548454,0.021748979,9573.148,-0.310567080974579,-0.452261328697205,176.737357080975,240.645631328697,22,,,
1,191.0454,181.452,13448.282,2.3007302,2.2780826,-4.2073436,0.02634127,0.026092142,0.009843666,12393.818,-0.310567080974579,-0.452261328697205,191.355967080974,181.904261328697,23,,,
1,193.75626,175.60562,7155.276,1.9326254,1.9842914,88.10274,0.039740052,0.041208778,0.026037516,10436.679,-0.310567080974579,-0.452261328697205,194.066827080975,176.057881328697,24,,,
1,196.19743,47.643417,10682.489,2.1227984,2.238929,30.6562,0.030100208,0.03199131,0.05186881,9824.383,-0.310567080974579,-0.452261328697205,196.507997080974,48.0956783286972,25,,,
1,198.8111,98.25144,12698.402,2.4466252,2.3029387,4.6091785,0.029600123,0.027838962,0.05872846,11007.276,-0.310567080974579,-0.452261328697205,199.121667080975,98.7037013286972,26,,,
1,223.01247,116.18296,8170.9487,2.0448198,2.0169172,36.13342,0.034281872,0.033728547,0.013645506,11173.87,-0.310567080974579,-0.452261328697205,223.323037080975,116.635221328697,27,,,
1,229.25964,67.908676,11303.654,2.1688564,2.2423015,20.769049,0.029095395,0.03017609,0.032754328,10894.166,-0.310567080974579,-0.452261328697205,229.570207080975,68.3609373286972,28,,,
1,248.61528,78.48735,20982.398,2.0984251,2.2953866,22.523506,0.020150198,0.022142768,0.08580751,22933.227,-0.310567080974579,-0.452261328697205,248.925847080975,78.9396113286972,29,,,
1,249.2548,129.69241,9066.015,2.121773,2.1278229,22.47667,0.032305315,0.03240833,0.0028432214,10134.85,-0.310567080974579,-0.452261328697205,249.565367080975,130.144671328697,30,,,
1,249.94356,65.71204,12420.286,2.2577107,2.3104813,12.892398,0.028247064,0.02894426,0.022839664,12573.714,-0.310567080974579,-0.452261328697205,250.254127080975,66.1643013286972,31,,,
1,281.71667,79.68592,8940.732,2.1090038,2.10313,33.82446,0.033456583,0.03334735,0.0027850496,10659.432,-0.310567080974579,-0.452261328697205,282.027237080975,80.1381813286972,32,,,
1,286.492,87.98346,9629.65,2.2741404,2.266246,17.927822,0.033231676,0.033104423,0.0034713238,9470.325,-0.310567080974579,-0.452261328697205,286.802567080975,88.4357213286972,33,,,
2,4.0371737,207.2533,15506.636,2.335158,2.2573495,44.483017,0.027878724,0.026803983,0.033320494,15276.536,-0.30976215004921,-0.451135396957397,4.34693585004921,207.704435396957,0,20,4.34693585004921,207.704435396957
2,13.962844,5.0625086,12665.344,2.3059876,2.385265,-0.81408995,0.027466005,0.028391106,0.033236355,10727.767,-0.30976215004921,-0.451135396957397,14.2726061500492,5.5136439969574,1,,,
2,17.597298,145.46898,11005.282,2.2973354,2.322715,1.747099,0.029604757,0.029930647,0.010926721,9782.214,-0.30976215004921,-0.451135396957397,17.9070601500492,145.920115396957,2,,,
2,29.40311,230.90047,17835.752,2.8038192,2.9715838,22.24235,0.03004676,0.0320638,0.056456313,10320.077,-0.30976215004921,-0.451135396957397,29.7128721500492,231.351605396957,3,4412,29.7128721500492,231.351605396957
2,40.090847,107.62544,11379.051,2.4462116,2.3059368,31.067858,0.034203716,0.031931948,0.057343677,7499.5684,-0.30976215004921,-0.451135396957397,40.4006091500492,108.076575396957,4,,,
