domain,frame,mean_background_intensity
7,1,187.892229296337
7,2,187.827166059628
7,4,188.300421017578
7,5,188.244490693941
7,6,188.407218023704
7,7,188.294396174152
7,8,187.908624460602
7,9,187.901424123684
7,10,188.124348765176
7,11,188.003544207769
7,12,187.447216867897
7,13,187.135094099785
7,14,186.834064164208
7,15,187.325599145169
7,16,186.900543025697
7,17,187.34671291708
7,18,187.394318558115
7,19,187.710488301601
7,20,187.172744040863
7,21,186.889744437621
7,22,186.87430470444
7,23,187.165070469164
7,24,187.43258267493
7,25,187.266755557653
7,26,187.627815088161
7,27,188.037172600656
7,28,187.698382436529
7,29,187.667494794624
7,30,187.328463880301
7,31,187.325225597169
7,32,187.262916053019
7,33,187.380908619633
7,34,187.160163253751
7,35,187.655910813929
7,36,187.505062964007
7,37,187.017902452777
7,38,187.147475008213
7,39,186.96310343213
7,40,186.981514651307
7,41,187.230452771364
7,42,187.42413076896
7,43,187.139026601821
7,44,186.957394693767
7,45,187.277508577088
7,46,187.656067626357
7,47,187.815618939501
7,48,187.389670363415
7,49,187.414898894453
7,50,187.553442499174
7,51,187.605364979003
7,52,187.756716628959
7,53,187.516591251885
7,54,187.735754480541
7,55,187.433222873451
7,56,187.182497030704
7,57,187.063666752984
7,58,187.249148366868
7,59,187.387127228955
7,60,187.262096774194
7,61,187.54451762699
7,62,187.897276052057
7,63,187.984052990213
7,64,188.098174519282
7,65,188.46234859201
7,66,187.930731197109
7,67,188.89670487106
7,68,188.631225812636
7,69,188.710843373494
7,70,188.401665629637
7,71,189.087570316529
7,72,188.788341054754
7,73,188.951202896992
7,74,188.573641281632
7,75,188.447038110523
7,76,189.268057592001
7,77,189.01140625
7,78,188.65223393273
7,79,188.785775872392
7,80,188.88512654432
7,81,188.884153345458
7,82,188.745456720704
7,83,188.698919314406
7,84,188.681182370019
7,85,188.496077443501
7,86,188.335917467469
7,87,188.769591458869
7,88,188.563694879431
7,89,188.746730240323
7,90,188.648643452767
7,91,188.594288190057
7,92,188.563144081672
7,93,189.15680159896
7,94,188.953707274743
7,95,188.942153838739
7,96,189.032707567254
7,97,189.512657998624
7,98,189.370973798651
7,99,189.635771628144
7,100,189.583923148585
7,101,189.118712346665
7,102,188.868313203635
7,103,189.097045449077
7,104,188.418997507616
7,105,188.737667111095
7,106,188.688348151614
7,107,189.498522558017
7,108,188.734680393547
7,109,188.791762645168
7,110,188.364274124272
7,111,188.520223135362
7,112,188.169285782625
7,113,188.403515494037
7,114,188.437183881871
7,115,188.09108979242
7,116,187.723725360121
7,117,188.041215445996
7,118,187.82297547322
7,119,188.18440676356
7,120,188.248442626849
7,121,188.073940818847
7,122,188.512764795288
7,123,188.236106489185
7,124,188.018690035148
7,125,188.232204552984
7,126,188.273498509158
7,127,188.235637364201
7,128,188.200694221557
7,129,188.211218877874
7,130,188.182881363982
7,131,188.015476021062
7,132,187.776878146073
7,133,188.254506728859
7,134,187.694709732804
7,135,187.949181791134
7,136,188.066805349183
7,137,188.176369354934
7,138,188.150895566796
7,139,188.249759000298
7,140,188.425275445179
7,141,187.936709160984
7,142,187.798697068404
7,143,187.58981300089
7,144,187.592531713418
7,145,188.092713104515
7,146,187.612167210199
7,147,187.923533242555
7,148,187.914551376962
7,149,187.568641901932
7,150,187.692181850513
7,151,188.229874925551
7,152,187.806511539286
7,153,188.121638542723
7,154,188.281285331746
7,155,188.519892761394
7,156,188.106068727294
7,157,188.041421379923
7,158,187.87088895739
7,159,188.118857021055
7,160,188.153554896142
7,161,188.065352573992
7,162,188.420881494316
7,163,188.306498822074
7,164,188.541558596074
7,165,188.500451220671
7,166,188.05092438176
7,167,188.484091613242
7,168,187.979678481133
7,169,188.254955342217
7,170,188.446873993487
7,171,188.663954667462
7,172,188.509726556428
7,173,188.355642653769
7,174,188.141369562365
7,175,188.499444132308
7,176,188.497493403694
7,177,188.693375235399
7,178,188.660647838947
7,179,188.778240729686
7,180,189.132685236968
7,181,188.276603312742
7,182,188.585631998855
7,183,188.351468676581
7,184,188.890606732995
7,185,189.007006278198
7,186,188.846713153346
7,187,188.545100428959
7,188,189.130244095337
7,189,189.226596278336
7,190,188.646105718141
7,191,188.717043409874
7,192,188.666754255002
7,193,188.771251950403
7,194,188.380587240731
7,195,188.730999572223
7,196,188.350693370757
7,197,188.386485715644
7,198,188.218653997285
7,199,188.189342295908
7,200,188.162709530367
7,201,188.214108442848
7,202,188.466870178428
7,203,188.09474008727
7,204,187.376144076816
7,205,187.473230703946
7,206,187.474338724127
7,207,187.502112443353
7,208,187.02735332956
7,209,187.424872545317
7,210,187.316640313407
7,211,187.934555035682
7,212,187.877675840979
7,213,187.908188673876
7,214,188.23717216431
7,215,188.552937664199
7,216,188.758660757068
7,217,188.379967422809
7,218,189.147704543005
7,219,189.271348772536
7,220,189.07493608287
7,221,188.922237839526
7,222,189.43000132334
7,223,189.176719091359
7,224,189.62106821711
7,225,189.347298919568
7,226,189.208723115536
7,227,188.812243723473
7,228,188.665133869612
7,229,189.4690658536
7,230,189.298229960451
7,231,189.714471623087
7,232,189.686563379261
7,233,190.079954000726
7,234,190.235355395126
7,235,189.843737141474
7,236,190.006062801932
7,237,189.609517490953
7,238,189.441934157374
7,239,189.359572927977
7,240,189.961728424806
7,241,189.879759881387
7,242,189.900107139848
7,243,189.443100261636
7,244,189.161340720355
7,245,189.103000179651
7,246,189.267887374677
7,247,189.511914750797
7,248,188.853174841648
7,249,189.172042624521
7,250,189.484485436659
7,251,189.092954353848
7,252,189.290874936782
7,253,189.347076886026
7,254,189.590904718388
7,255,189.554515478362
7,256,190.219212951793
7,257,189.595372453706
7,258,188.966973821738
7,259,189.758180963516
7,260,189.269995910611
7,261,188.63090283192
7,262,188.641603412733
7,263,188.238225427108
7,264,188.456383372542
7,265,188.384455760814
7,266,188.119629717541
7,267,188.168517332194
7,268,188.582515961051
7,269,188.385201799072
7,270,188.792507238951
7,271,188.306253952722
7,272,188.206986263769
7,273,188.250918953642
7,274,188.252208959851
7,275,188.506323073252
7,276,188.47615465444
7,277,188.503299540933
7,278,188.474463298471
7,279,188.081670017231
7,280,188.164410312934
7,281,188.251988786122
7,282,188.655071319165
7,283,188.431902383058
7,284,188.387013389241
7,285,188.371729430662
7,286,188.442571792703
7,287,188.688906285213
7,288,188.336306307376
7,289,187.898532499733
7,290,187.556831528122
7,291,187.639722590418
7,292,187.730417800923
7,293,187.843074516496
7,294,188.145075820302
7,295,188.322857413728
7,296,188.345373559805
7,297,188.674819801037
7,298,188.024756251639
7,299,188.361393444574
7,300,188.684150731293
7,301,188.609541459915
7,302,188.670496801578
7,303,188.821282450054
7,304,189.015121426008
7,305,188.706471696763
7,306,188.864816718873
7,307,188.310667684454
7,308,188.205985120392
7,309,188.386446190736
7,310,187.985824589659
7,311,188.139562732684
7,312,188.082353080681
7,313,188.400204416344
7,314,188.481116584565
