domain,frame,mean_background_intensity
8,1,250.675787093986
8,2,251.748712599142
8,3,252.387924926261
8,4,251.043375680581
8,5,251.294806542472
8,6,248.549774648814
8,7,249.980739283665
8,8,249.088824225686
8,9,249.343532387334
8,10,249.362804080565
8,11,249.788570870054
8,12,248.601398257908
8,13,249.426773455378
8,14,248.470776188369
8,15,249.756556738509
8,16,247.658380728247
8,17,247.8584102606
8,18,247.248762153771
8,19,248.462783804033
8,20,246.135713356743
8,21,246.431005138346
8,22,246.992852428404
8,23,247.464607237423
8,24,247.018007842125
8,25,246.581053649106
8,26,246.526159094932
8,27,246.023560293739
8,28,245.705002254719
8,29,245.192090304504
8,30,244.994444444444
8,31,244.734010903302
8,32,245.26017602642
8,33,244.150806945205
8,34,245.176143287794
8,35,244.396342640247
8,36,244.733287454188
8,37,245.073685222883
8,38,244.600452517732
8,39,243.664124833443
8,40,243.678214072797
8,41,243.698915110167
8,42,243.037658845748
8,43,242.562333322623
8,44,242.573778353235
8,45,242.246843242378
8,46,243.629984767097
8,47,243.009404689549
8,48,242.586657925455
8,49,242.003576870639
8,50,242.193111380919
8,51,241.261198455054
8,52,242.111484809174
8,53,242.682603429591
8,54,242.682919092106
8,55,241.333741356013
8,56,241.595263878715
8,57,241.068728467779
8,58,241.129648752125
8,59,241.111657258832
8,60,240.578336710143
8,61,239.441763436766
8,62,240.347167961027
8,63,240.01178850226
8,64,239.477239632795
8,65,240.774506555592
8,66,239.816376935499
8,67,240.915326343091
8,68,240.299115548313
8,69,241.949417198153
8,70,240.442855326723
8,71,240.793956957575
8,72,240.418053454362
8,73,240.734859978507
8,74,238.809858931685
8,75,239.815066656149
8,76,238.921402336176
8,77,240.117985072296
8,78,238.608935648236
8,79,238.885661776256
8,80,238.151715748231
8,81,238.974916993186
8,82,238.78517035332
8,83,238.262663572793
8,84,237.741192132748
8,85,237.857305071915
8,86,237.918264395273
8,87,238.43159166889
8,88,238.326899216284
8,89,237.144439200881
8,90,237.43821087263
8,91,236.334832904884
8,92,236.58058349006
8,93,235.217823788958
8,94,237.254734099474
8,95,235.529500568067
8,96,235.327116346468
8,97,234.246459496013
8,98,233.970262128082
8,99,234.714592007955
8,100,235.044056564148
8,101,234.430303312533
8,102,234.279347758503
8,103,234.249062625887
8,104,233.438670760452
8,105,233.396500100839
8,106,232.886763104682
8,107,234.081658155788
8,108,232.323485623895
8,109,233.779141104294
8,110,231.79566558668
8,111,232.643866905365
8,112,231.53846867893
8,113,231.967841987501
8,114,231.246967618637
8,115,230.760293638353
8,116,231.652913777996
8,117,230.808762535595
8,118,231.855112587671
8,119,229.921604728162
8,120,230.063669659553
8,121,229.210624835631
8,122,230.215597882947
8,123,229.941842226665
8,124,230.018756352213
8,125,229.44213002106
8,126,228.815560500269
8,127,228.779102642901
8,128,228.164086545087
8,129,228.867028017406
8,130,228.616703565158
8,131,228.808682483594
8,132,229.194377681098
8,133,227.855469822196
8,134,228.235776938539
8,135,228.616855146801
8,136,227.081124363237
8,137,227.465886348475
8,138,226.743130154286
8,139,227.325636192271
8,140,226.754736762136
8,141,227.868201847045
8,142,225.728193276672
8,143,226.020519835841
8,144,225.228186796471
8,145,225.235182630055
8,146,225.998822765896
8,147,225.973279438036
8,148,225.458301210829
8,149,225.4397757415
8,150,225.214385991396
8,151,225.36243777342
8,152,225.379223747725
8,153,225.646001566831
8,154,225.650633026274
8,155,225.599001463113
8,156,225.607227497094
8,157,224.740274444092
8,158,225.3734829092
8,159,224.024311379055
8,160,224.643840781912
8,161,224.16697476592
8,162,224.52037918964
8,163,224.471206464865
8,164,224.563906734355
8,165,223.830269736251
8,166,224.126018565502
8,167,222.901861302912
8,168,224.013298468435
8,169,223.115045171293
8,170,223.644282716435
8,171,223.319133756447
8,172,223.098371636104
8,173,222.473741435806
8,174,223.288419768514
8,175,222.765379581152
8,176,222.677793602754
8,177,223.758994607655
8,178,222.829666250965
8,179,222.47132613827
8,180,222.358945022288
8,181,222.438628960616
8,182,223.019027017482
8,183,221.643941073038
8,184,221.019783053259
8,185,221.946771852134
8,186,221.269074830332
8,187,222.084299169625
8,188,221.369006899805
8,189,221.607129737117
8,190,221.201450253941
8,191,220.912187881193
8,192,221.075964034792
8,193,221.016810281875
8,194,221.216671545667
8,195,220.976710483942
8,196,220.481593567251
8,197,220.861295802701
8,198,220.62852506469
8,199,220.830032786885
8,200,220.412230750186
8,201,221.185203010151
8,202,220.876529007456
8,203,220.285716372987
8,204,220.894898479004
8,205,220.143307132545
8,206,220.355704990414
8,207,219.757937710073
8,208,219.733419123494
8,209,220.174637346125
8,210,220.045198067074
8,211,219.269616365322
8,212,220.213838203026
8,213,219.842552456113
8,214,220.231011429804
8,215,219.433102295488
8,216,220.200687543333
8,217,219.666453989153
8,218,219.61445765745
8,219,219.122256282715
8,220,219.308450541849
8,221,218.470629763569
8,222,218.732847514258
8,223,219.0513771491
8,224,218.203126575895
8,225,218.429032860076
8,226,218.05189361087
8,227,217.371599596134
8,228,218.247155724951
8,229,217.519622082572
8,230,217.909008996124
8,231,217.465130321022
8,232,217.702237348498
8,233,217.252811172702
8,234,217.026458509223
8,235,217.073522475523
